timestamp_us,rssi,channel,mac,csi_len,csi_data,experiment_id,zone_id,scenario,distance_tx_rx_m,ground_truth,comment,marker_state
6318372328,-49,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-9;10;-2;9;5;9;11;9;17;10;22;11;25;13;27;14;28;16;27;17;26;17;23;17;21;16;18;14;14;12;11;9;8;5;5;0;3;-5;2;-9;2;-14;2;-17;4;-20;5;-21;7;-22;1;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;-10;-13;-10;-15;-11;-18;-11;-20;-10;-22;-10;-23;-9;-24;-8;-23;-7;-21;-6;-19;-5;-16;-6;-11;-7;-7;-9;-2;-11;3;-14;7;-18;11;-21;15;-24;18;-27;21;-29;22;-31;23;-33;22;-33;20;-30;18;-28;16;122;0;-15;-7;-14;-7;-14;-7;-14;-6;-14;-6;-14;-6;-14;-5;-14;-5;-14;-4;-13;-3;-13;-3;-13;-3;-13;-2;-13;-2;-13;-2;-13;-1;-13;-1;-13;-1;-12;-1;-12;-1;-12;-1;-12;-1;-12;-1;-12;-1;-11;-1;-11;-1;-11;-1;-11;-1;-4;-1;-2;-1;0;-1;0;0;0;0;-1;-1;-2;-3;-5;-7;-5;-7;-5;-8;-5;-8;-5;-8;-6;-8;-6;-8;-5;-8;-5;-8;-6;-9;-6;-9;-7;-9;-7;-9;-7;-9;-7;-8;-7;-8;-8;-9;-8;-9;-9;-9;-9;-9;-10;-9;-11;-8;-11;-8;-11;-8;-12;-9;-12;-9;-13;-9;-14;-9;122;0;-4;24;-3;24;-3;24;-3;23;-2;22;-2;22;-1;21;0;20;0;19;1;19;1;19;2;18;2;18;2;17;2;17;2;17;3;16;3;16;2;16;2;15;2;15;2;14;2;13;2;13;2;13;1;13;1;13;0;13;0;4;-1;1;-1;-1;0;-1;0;-1;-1;1;-1;4;-3;11;-3;11;-4;11;-4;11;-4;12;-5;12;-5;13;-5;14;-6;14;-6;15;-7;15;-7;16;-7;16;-7;16;-7;17;-7;17;-7;18;-7;18;-7;18;-6;19;-6;20;-6;21;-5;22;-5;23;-5;24;-5;24;-5;24;-4;24,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
6318574887,-49,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-6;-14;-8;-7;-10;0;-14;5;-17;10;-20;14;-23;17;-25;18;-27;18;-28;18;-28;16;-27;15;-26;12;-23;10;-19;7;-15;5;-9;4;-4;3;1;4;6;5;10;7;13;9;15;11;16;14;16;16;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;-1;14;-4;16;-4;19;-4;21;-3;23;-2;24;-1;24;0;23;1;21;2;19;2;16;1;12;-1;8;-4;5;-7;1;-11;-2;-15;-4;-20;-6;-25;-8;-29;-9;-32;-9;-36;-9;-38;-8;-39;-7;-38;-6;-36;-5;-34;-128;0;13;-8;13;-8;13;-8;12;-8;12;-8;12;-8;11;-8;11;-8;10;-8;10;-8;10;-9;9;-9;9;-9;9;-9;9;-9;9;-9;9;-9;9;-9;9;-8;9;-8;9;-8;8;-8;8;-8;8;-8;8;-8;8;-7;9;-7;9;-6;3;-2;1;-1;-1;0;-1;0;-1;0;0;-1;2;-2;7;-3;7;-3;7;-3;7;-3;8;-3;8;-3;8;-3;8;-3;9;-3;9;-3;9;-3;9;-3;9;-3;9;-3;10;-3;10;-4;10;-4;10;-4;10;-4;10;-4;11;-5;11;-5;12;-6;12;-6;13;-7;13;-7;13;-7;13;-7;-128;0;-18;-19;-18;-18;-17;-18;-17;-17;-17;-16;-16;-16;-16;-15;-16;-14;-16;-14;-16;-13;-15;-12;-15;-12;-15;-12;-15;-11;-14;-11;-14;-11;-14;-11;-13;-11;-13;-11;-12;-11;-12;-11;-11;-10;-11;-10;-11;-10;-10;-10;-10;-10;-9;-10;-9;-11;-3;-4;-1;-2;0;0;0;0;0;0;-2;-1;-4;-2;-10;-6;-10;-7;-10;-7;-10;-8;-11;-9;-11;-9;-11;-10;-12;-10;-12;-11;-12;-12;-12;-13;-12;-13;-13;-13;-13;-14;-13;-14;-13;-15;-13;-15;-13;-15;-14;-16;-14;-16;-15;-16;-15;-17;-16;-17;-17;-18;-17;-18;-18;-18;-18;-18;-18;-18,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
6318772426,-49,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;9;8;8;1;8;-6;8;-12;8;-18;9;-23;10;-26;11;-29;12;-30;13;-29;14;-28;14;-26;13;-24;12;-20;10;-17;8;-13;4;-9;0;-6;-4;-3;-9;-1;-13;0;-16;0;-19;-1;-22;-2;-23;-3;-6;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;1;-12;7;-15;8;-18;8;-20;8;-22;8;-23;7;-24;6;-23;5;-22;4;-19;3;-16;3;-12;4;-7;5;-2;7;2;9;7;12;11;15;15;18;18;21;21;25;22;27;23;29;22;30;21;30;19;29;17;27;-128;0;-17;27;-16;26;-16;25;-16;24;-16;24;-16;24;-15;25;-13;25;-12;25;-10;24;-9;23;-9;23;-10;22;-10;23;-9;23;-8;24;-8;23;-8;22;-8;21;-8;21;-8;20;-8;20;-8;21;-7;20;-7;20;-8;19;-8;18;-9;18;-4;6;-2;1;0;-1;0;-1;0;-1;-2;1;-5;4;-12;11;-12;11;-13;11;-13;11;-14;11;-13;11;-14;11;-14;11;-15;11;-16;11;-17;12;-18;13;-17;14;-17;14;-16;14;-16;14;-17;14;-17;15;-18;16;-18;18;-17;19;-17;20;-17;21;-17;21;-18;21;-19;22;-20;24;-20;25;-128;0;46;12;46;12;45;12;44;12;42;12;40;11;39;9;37;8;37;6;36;5;36;5;35;4;34;4;33;4;33;4;32;4;32;3;32;3;31;4;30;5;29;5;28;5;26;5;25;5;25;5;24;6;24;7;24;8;8;3;2;1;-1;-1;-2;-1;-1;-1;2;0;7;0;21;2;21;3;22;4;22;5;23;5;24;6;26;7;27;8;28;9;29;10;29;11;30;11;31;11;32;12;33;12;33;13;34;14;34;14;35;14;36;14;38;13;39;13;41;13;43;13;44;14;45;14;46;13;46;13,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
6318975508,-49,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-13;-2;-8;3;-3;8;1;13;5;18;7;22;8;26;9;28;9;30;8;30;7;30;6;28;5;26;4;23;3;19;2;14;2;9;2;4;3;-1;5;-6;7;-10;10;-13;12;-14;14;-15;16;-15;4;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-3;7;-13;9;-14;11;-16;13;-17;15;-18;17;-18;17;-17;17;-16;16;-14;15;-12;12;-10;8;-9;3;-8;-2;-7;-8;-7;-13;-7;-18;-7;-23;-8;-28;-9;-32;-10;-35;-11;-36;-12;-37;-14;-35;-14;-33;-14;-30;-13;120;0;-7;-16;-7;-15;-6;-15;-6;-14;-6;-14;-6;-14;-7;-14;-7;-13;-8;-12;-8;-12;-7;-11;-7;-11;-7;-11;-7;-11;-8;-11;-8;-11;-9;-11;-8;-10;-8;-10;-7;-10;-7;-10;-7;-10;-7;-10;-8;-10;-7;-9;-7;-9;-6;-9;-6;-9;-2;-4;-1;-1;0;0;0;0;-1;0;-1;-1;-1;-3;-2;-9;-1;-9;-1;-9;-1;-10;-1;-10;-2;-10;-2;-10;-1;-10;-1;-10;-1;-11;-1;-11;-1;-12;-1;-12;-2;-12;-2;-12;-2;-11;-2;-12;-2;-12;-2;-13;-3;-14;-3;-14;-4;-14;-4;-14;-4;-14;-4;-15;-4;-15;-5;-16;-5;-17;120;0;-19;14;-19;14;-19;14;-19;13;-18;13;-17;13;-16;13;-15;13;-14;13;-14;13;-13;13;-13;13;-13;12;-12;12;-12;11;-12;11;-11;11;-11;11;-11;11;-11;10;-11;10;-11;9;-10;9;-10;8;-10;8;-10;8;-11;7;-11;7;-4;2;-2;0;0;-1;0;-1;0;-1;-1;0;-3;2;-8;7;-9;7;-9;7;-9;7;-10;7;-10;7;-11;8;-12;8;-13;8;-14;8;-14;8;-14;8;-15;8;-15;9;-15;9;-16;9;-16;9;-17;9;-17;9;-17;10;-17;11;-17;12;-18;12;-19;13;-19;13;-20;13;-19;13;-19;13,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
6319172317,-49,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;6;11;7;4;8;-4;9;-11;11;-16;13;-21;15;-24;17;-27;17;-28;18;-28;18;-27;18;-25;17;-22;16;-19;14;-15;10;-12;6;-8;1;-6;-4;-4;-8;-2;-13;-2;-16;-1;-19;-2;-22;-4;-23;-5;-6;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;0;-14;3;-17;3;-20;2;-22;1;-24;0;-25;-1;-25;-2;-25;-3;-23;-4;-20;-3;-17;-2;-13;-1;-9;2;-5;5;-1;9;3;13;6;17;9;22;12;26;13;30;14;33;14;35;14;36;13;36;12;34;10;31;121;0;-15;9;-14;9;-14;9;-14;8;-13;8;-13;8;-13;8;-12;9;-11;9;-11;9;-11;9;-10;9;-10;9;-10;9;-10;9;-10;9;-10;9;-10;8;-9;8;-9;8;-9;8;-9;8;-9;7;-9;7;-9;7;-9;7;-9;6;-10;6;-4;2;-2;0;0;-1;0;-1;0;-1;-1;0;-3;1;-8;4;-8;3;-8;3;-9;3;-9;3;-9;3;-9;3;-10;3;-10;3;-10;3;-10;3;-11;3;-11;3;-11;4;-11;4;-11;4;-12;4;-12;4;-12;5;-12;5;-13;5;-13;6;-13;6;-13;7;-14;7;-14;7;-15;8;-15;8;121;0;18;16;17;16;17;15;17;15;16;14;16;14;16;13;15;12;15;12;15;11;14;11;14;10;14;10;14;10;14;10;13;10;13;10;13;10;12;10;12;9;11;9;11;9;10;9;10;9;9;9;9;9;8;9;7;10;2;3;0;1;-1;-1;-1;-1;-1;-1;1;0;3;1;9;4;9;5;9;6;9;6;10;7;10;7;10;8;11;8;11;9;12;10;12;10;12;11;12;11;12;12;12;12;12;12;13;13;13;13;13;13;14;14;14;14;15;14;16;15;16;15;17;15;17;16;18;16;18;16,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
6319379111,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;11;-4;4;-6;-3;-8;-8;-11;-13;-13;-17;-16;-20;-18;-22;-20;-22;-21;-22;-22;-21;-22;-20;-22;-17;-20;-14;-18;-12;-15;-9;-11;-6;-7;-4;-3;-3;2;-3;7;-3;11;-3;14;-4;17;-6;19;-7;20;-2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;3;-2;12;-3;15;-4;17;-5;19;-6;20;-7;21;-9;21;-9;21;-9;19;-9;17;-7;14;-5;11;-1;8;3;4;7;2;12;-1;17;-3;21;-4;26;-6;30;-6;33;-6;35;-6;36;-5;35;-4;33;-4;31;-3;112;0;6;14;6;14;6;14;6;13;6;13;6;12;6;12;6;11;6;11;7;10;7;10;7;10;7;9;7;9;7;9;7;9;7;9;7;9;6;9;6;9;6;9;6;8;6;8;6;8;5;8;5;8;5;8;4;9;1;3;0;1;-1;-1;-1;-1;-1;-1;0;0;1;2;3;6;3;7;3;7;2;7;2;7;2;8;2;8;2;8;2;8;2;9;3;9;3;9;3;10;3;10;3;10;3;10;3;10;3;10;3;11;4;11;4;11;4;12;5;12;5;13;5;13;6;13;6;13;6;14;112;0;16;-15;16;-15;16;-15;15;-15;14;-14;14;-14;13;-14;13;-13;12;-13;12;-13;11;-13;11;-13;10;-13;10;-13;10;-13;10;-12;10;-12;10;-12;10;-11;10;-11;10;-10;9;-10;9;-9;9;-9;9;-8;9;-8;9;-7;9;-7;3;-3;1;-1;-1;0;-1;0;-1;0;0;-1;1;-4;5;-9;5;-9;6;-9;7;-9;7;-9;8;-10;8;-10;9;-10;10;-10;10;-10;11;-11;11;-11;12;-11;12;-11;12;-11;12;-11;13;-11;13;-11;13;-12;14;-12;14;-13;15;-13;15;-14;15;-14;16;-15;16;-15;16;-16;16;-16,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
6319572347,-49,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-3;-13;-6;-6;-10;-1;-14;5;-19;9;-22;11;-26;13;-28;14;-29;13;-30;12;-29;11;-28;9;-26;7;-22;6;-18;4;-13;3;-8;2;-2;2;3;3;7;5;11;7;13;9;15;12;16;14;16;16;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;16;3;18;4;19;5;21;7;21;8;21;9;21;10;20;10;18;9;16;7;13;5;11;2;8;-2;6;-7;5;-12;3;-17;2;-21;2;-26;1;-30;1;-34;1;-37;2;-39;3;-39;4;-38;4;-35;4;-32;116;0;15;-6;15;-5;14;-5;14;-5;14;-5;13;-6;13;-6;13;-6;12;-7;11;-7;11;-7;11;-7;11;-7;11;-7;11;-7;11;-8;10;-8;10;-7;10;-7;9;-7;9;-7;9;-7;9;-7;9;-7;9;-7;9;-6;9;-6;9;-5;3;-2;1;-1;-1;0;-1;-1;-1;-1;0;0;2;0;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;8;1;9;1;9;1;10;1;10;0;10;0;9;0;9;0;10;0;10;0;11;0;12;-1;12;-2;12;-2;13;-3;13;-3;13;-3;14;-3;15;-3;15;-4;116;0;-15;-20;-15;-20;-15;-20;-14;-19;-14;-18;-14;-17;-14;-16;-14;-15;-14;-14;-14;-14;-14;-13;-14;-13;-14;-12;-13;-12;-13;-11;-13;-11;-13;-11;-13;-11;-12;-10;-12;-10;-11;-10;-11;-10;-11;-9;-10;-9;-10;-9;-10;-9;-10;-10;-9;-10;-4;-4;-1;-2;0;0;0;0;0;0;-1;-1;-3;-3;-9;-8;-8;-9;-8;-9;-8;-10;-9;-11;-9;-11;-9;-12;-9;-12;-9;-13;-10;-14;-10;-15;-10;-15;-10;-16;-10;-16;-10;-17;-10;-17;-10;-17;-10;-18;-10;-18;-11;-18;-12;-18;-12;-19;-13;-19;-14;-20;-14;-20;-14;-21;-14;-21;-14;-21,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
6319772313,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-16;-4;-12;2;-10;8;-9;14;-8;19;-8;24;-9;27;-11;29;-12;30;-13;30;-14;29;-15;27;-15;24;-14;20;-12;16;-9;12;-6;9;-2;6;3;4;8;3;11;3;15;4;18;5;19;8;20;10;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;0;-18;1;-19;3;-22;5;-23;7;-24;8;-23;10;-22;10;-21;9;-18;8;-16;5;-14;2;-12;-2;-11;-7;-10;-12;-9;-16;-10;-21;-11;-25;-12;-29;-13;-32;-15;-34;-16;-35;-18;-34;-19;-33;-19;-31;-18;-28;-17;-122;0;-1;-15;-1;-14;-1;-14;-1;-14;-1;-14;-1;-14;-2;-14;-2;-14;-3;-13;-3;-13;-3;-12;-3;-12;-3;-12;-3;-12;-4;-12;-4;-12;-4;-12;-4;-12;-4;-11;-3;-11;-3;-11;-3;-11;-3;-11;-3;-11;-3;-11;-3;-11;-3;-10;-2;-10;-1;-4;-1;-2;0;0;-1;0;-1;0;0;-1;0;-3;2;-8;2;-8;3;-8;3;-8;3;-8;3;-8;3;-8;3;-8;4;-8;4;-9;4;-9;4;-9;3;-10;3;-10;3;-9;3;-9;3;-10;3;-10;3;-11;3;-11;2;-12;1;-12;1;-12;1;-12;1;-13;1;-13;1;-14;1;-15;-122;0;-26;8;-26;8;-25;8;-24;7;-23;7;-22;7;-21;8;-20;8;-19;8;-19;8;-19;8;-18;8;-18;8;-17;8;-17;8;-16;8;-16;7;-16;7;-16;7;-15;6;-15;6;-14;5;-14;5;-14;5;-13;4;-13;4;-13;3;-13;3;-5;1;-2;0;0;-1;0;-1;0;-1;-1;0;-4;2;-10;6;-10;6;-11;6;-12;6;-12;6;-13;6;-14;6;-15;6;-16;6;-17;6;-17;5;-18;5;-18;5;-19;5;-19;5;-20;5;-20;5;-21;5;-21;5;-21;6;-22;6;-23;7;-23;7;-24;7;-25;8;-25;8;-26;8;-26;8,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
6319975707,-49,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;15;4;14;-1;15;-7;16;-11;17;-15;19;-18;21;-19;22;-20;23;-20;24;-20;24;-18;23;-16;22;-14;20;-12;17;-9;13;-8;9;-7;4;-8;0;-9;-3;-11;-6;-13;-8;-16;-8;-18;-8;-21;-7;-23;-2;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;18;0;19;-2;21;-5;21;-7;21;-9;19;-9;17;-9;15;-7;13;-5;11;-2;9;2;9;6;8;9;9;13;10;16;12;19;14;22;16;24;18;25;19;26;21;25;22;24;22;23;22;22;20;20;18;-119;0;-15;17;-14;16;-14;16;-14;16;-14;16;-13;17;-12;17;-11;18;-10;18;-9;17;-9;17;-9;17;-9;17;-8;18;-8;18;-8;19;-7;19;-7;18;-7;18;-7;17;-7;17;-8;17;-8;18;-7;18;-8;18;-8;17;-9;16;-9;16;-4;5;-2;1;0;-1;1;-1;0;-1;-2;1;-6;3;-17;9;-17;8;-18;7;-18;7;-18;6;-18;6;-18;5;-18;5;-18;4;-19;4;-19;4;-18;5;-18;5;-17;5;-17;5;-17;5;-17;5;-17;6;-17;7;-17;8;-16;9;-16;10;-15;11;-16;11;-16;12;-17;13;-17;14;-17;15;-119;0;51;7;51;7;50;7;48;7;47;7;45;6;44;5;43;4;42;4;41;3;40;3;39;3;38;3;38;3;37;3;37;3;36;3;36;3;35;4;34;5;33;5;31;6;30;6;29;7;28;7;28;9;27;10;26;11;9;4;2;1;-1;-1;-2;0;-1;0;1;-1;6;-3;18;-6;19;-6;20;-5;21;-4;23;-4;24;-3;26;-3;28;-2;29;-1;30;-1;32;0;33;1;34;2;35;3;36;4;37;4;38;5;39;5;40;6;41;6;42;5;44;5;46;5;47;6;48;6;49;6;50;7;51;6,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
6320172293,-48,6,a0:9f:7a:73:2b:3e,384,-110;-96;8;0;-7;4;-1;7;5;10;10;13;14;16;17;19;19;21;20;22;20;23;19;23;18;22;16;20;14;18;11;15;9;12;7;8;5;3;4;-2;3;-7;3;-11;3;-15;4;-17;5;-19;6;-21;8;-21;2;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;2;-18;4;-19;6;-21;9;-21;10;-21;11;-20;12;-19;11;-17;10;-14;8;-11;5;-9;1;-6;-4;-5;-9;-3;-14;-2;-19;-1;-23;0;-27;0;-31;0;-34;0;-36;0;-36;-1;-35;-1;-34;-2;-30;-2;-27;-1;125;0;-3;-16;-4;-15;-4;-15;-4;-15;-4;-14;-4;-14;-4;-14;-5;-13;-5;-13;-5;-12;-5;-12;-5;-12;-6;-11;-6;-11;-6;-11;-6;-11;-6;-11;-6;-11;-5;-10;-5;-10;-5;-10;-5;-10;-5;-10;-5;-9;-5;-9;-4;-9;-4;-9;-4;-9;-2;-4;-1;-1;0;0;0;0;-1;0;-1;-2;-1;-4;-1;-11;-1;-11;0;-11;0;-11;0;-11;1;-11;1;-11;1;-11;1;-12;1;-12;1;-12;1;-12;1;-12;1;-12;1;-12;1;-12;1;-12;0;-12;0;-13;0;-13;-1;-13;-1;-14;-1;-14;-2;-15;-2;-15;-2;-15;-3;-16;-3;-16;125;0;-17;15;-16;15;-16;15;-15;14;-15;14;-14;14;-14;14;-13;13;-12;13;-12;13;-11;13;-10;13;-10;13;-10;13;-10;13;-10;12;-10;12;-10;11;-10;11;-10;11;-10;10;-9;10;-9;10;-9;9;-9;9;-9;8;-10;8;-10;7;-4;2;-2;0;0;-1;0;-1;0;-1;-1;0;-2;2;-4;8;-4;8;-5;8;-6;8;-6;9;-7;9;-7;9;-8;10;-9;10;-10;10;-10;11;-11;11;-11;11;-12;11;-12;11;-12;11;-13;11;-13;11;-14;12;-14;12;-14;13;-15;13;-15;14;-15;14;-16;15;-16;15;-16;16;-16;16,empty,EXP_S032,ZONE_01,mouvement_fort,4.7,mouvement_fort,mouvement rapide
