fraction_train,n_sessions_train,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
0.25,13,0.37106948757763975,0.06644337788117337,0.3626145595253934,0.06827565818500471
0.4,19,0.3910617236024845,0.07426373566480694,0.3897720848522481,0.09120805036964642
0.55,25,0.48180318322981364,0.06759744258543679,0.5009356887116949,0.07856068043592113
0.7,29,0.49631211180124224,0.022614868396217076,0.5192068735285047,0.02139311928179466
0.85,36,0.4910229037267081,0.03617985218147065,0.5143113031320555,0.04695621660530854
1.0,40,0.49961180124223603,0.0,0.5261340733337477,0.0
