moyenne,variance,ecart_type,maximum,minimum,energie_signal,nombre_de_pics,variation_moyenne,stabilite_temporelle,amplitude_moyenne_csi,subcarrier_std_mean,subcarrier_std_max,subcarrier_std_std,subcarrier_std_peakiness,session_id,scenario,effective_label,window_start_timestamp_us,window_end_timestamp_us,n_samples_in_window
-0.3531326870292282,0.38974147161725087,0.6242927771624872,1.4898978580554803,-0.7048560720477747,5.1444416626573375,3,0.5181890826438047,0.6156525560292905,16.41753689338168,0.7084322099812632,1.863314244210814,0.5194131967730272,2.6301941319549846,EXP_0001_piece_vide,piece_vide,piece_vide,151172768,152972539,10
0.14005255888864349,0.9371991414091259,0.9680904613769965,1.9706352955805078,-0.6437685192886063,9.568138606603828,3,1.0668283670112588,0.5081067255924501,18.24672717862474,1.0775566034603337,2.8185849778997105,0.8056201845445301,2.6157187160588427,EXP_0001_piece_vide,piece_vide,piece_vide,152172261,153972639,10
0.13080620721496375,0.9775501868990835,0.9887113769442948,1.9706352955805078,-0.6437685192886063,9.946604507450477,3,1.0844053937049456,0.502838175309544,18.212433093804833,1.0835158549922244,2.831412545140763,0.8277873976954878,2.613171306614531,EXP_0001_piece_vide,piece_vide,piece_vide,153173245,154972575,10
-0.370178425862209,0.43492945523670345,0.6594918158981986,1.5736758007128309,-0.7528746660950643,5.719615222105264,2,0.6082495404020154,0.6025941137038695,16.35431541598316,0.7329946958208456,1.8785695516488004,0.5389423816019957,2.562869226471293,EXP_0001_piece_vide,piece_vide,piece_vide,154172540,155972506,10
-0.39932892497973127,0.4909330737759201,0.700666164286474,1.670260515998884,-0.7528746660950643,6.50396664101388,3,0.6421161833771264,0.5880048777354001,16.24619821207833,0.7742231953127422,1.9922925138066252,0.5614263061062271,2.573279285992682,EXP_0001_piece_vide,piece_vide,piece_vide,155172699,156972631,10
-0.14195878232527334,0.8327297205538503,0.9125402569497142,1.670260515998884,-0.7482380386881144,8.528820164331249,2,1.0556529865740059,0.5228648110105076,17.200766436800837,0.9846252747247003,2.67350985629789,0.7706264111948162,2.715256171267941,EXP_0001_piece_vide,piece_vide,piece_vide,156174686,157972280,10
0.09170363974713719,1.0297992630766941,1.0147902557064166,1.6665364228783635,-0.7722760085341412,10.382088206195666,2,1.300568518456281,0.4963295793037199,18.067404350280498,1.1000168274587057,2.951503172922193,0.8488862451564716,2.683143654318186,EXP_0001_piece_vide,piece_vide,piece_vide,157172437,158972682,10
0.3253728670927365,1.132118815118183,1.064010721336107,1.7831574753051447,-0.7722760085341412,12.379863177583305,2,1.295205212123249,0.48449360735522956,18.934067504052134,1.1706878704213313,3.034350973332589,0.8789483700937223,2.5919385067589245,EXP_0001_piece_vide,piece_vide,piece_vide,158172663,159972640,10
0.10671165165901568,1.035620999248584,1.0176546561818425,1.7831574753051447,-0.756819255708921,10.470083758483792,2,1.2506056130290055,0.49562495590418537,18.12306803814879,1.1207455653678913,2.8626423363196656,0.8391991347060979,2.5542303464977407,EXP_0001_piece_vide,piece_vide,piece_vide,159172535,160972689,10
-0.09646461599386888,0.8244025053756625,0.9079661366899442,1.6999231156574046,-0.756819255708921,8.33707927514507,2,1.0500136222983425,0.5241183167615652,17.36950118257321,1.0068511618133995,2.551286770158847,0.7326680852271301,2.533926427645869,EXP_0001_piece_vide,piece_vide,piece_vide,160172504,161972578,10
0.10103706459026032,1.024533007521278,1.0121921791444932,1.6999231156574046,-0.7517455122597303,10.347414959422942,3,1.5259608318301316,0.4969704237818684,18.102021383519826,1.1012181712371314,2.9666978450473516,0.8446093011620095,2.6940146102206857,EXP_0001_piece_vide,piece_vide,piece_vide,161179758,162972652,10
-0.20357618858599227,0.8174731757758048,0.9041422320496951,1.6030343613072242,-0.7361886707871624,8.589164403350043,3,1.0309811429299236,0.5251708528745564,16.97223169885624,0.9618267009682736,2.6363988391389035,0.7684596452761128,2.741033113079311,EXP_0001_piece_vide,piece_vide,piece_vide,162172612,163972739,10
-0.6299868796788094,0.0061503310237058005,0.07842404620845446,-0.5502614882946244,-0.7361886707871624,4.030337995911486,2,0.048870965715159365,0.9272790267574436,15.390703662227484,0.1552683849044665,0.7051463146543889,0.07261091236882207,4.541467411712847,EXP_0001_piece_vide,piece_vide,piece_vide,163172616,164972636,10
0.08672244875207072,1.096015290604834,1.04690748903847,1.7909169554384214,-0.7161048473412945,11.035360737223895,2,0.8249972354064609,0.4885418639362874,18.048929454179014,1.112415887160584,3.0150018809799413,0.8919784382941194,2.7103189670954313,EXP_0001_piece_vide,piece_vide,piece_vide,164172748,165974051,10
0.0523175976592785,1.1459965932718785,1.070512304119798,1.7909169554384214,-0.737041188040112,11.487337242967167,3,0.9011124515931925,0.4829722566778531,17.92132421881346,1.1344535951949641,3.003028528150505,0.9039304983617386,2.6471144683421786,EXP_0001_piece_vide,piece_vide,piece_vide,165175620,166972394,10
-0.40512541564564825,0.5519346802934251,0.7429230648549182,1.8121817783439627,-0.737041188040112,7.160612826954843,3,0.6172079297851482,0.5737487902733335,16.224699425360036,0.7980118182963691,2.149173862793993,0.6200814012496426,2.6931604405170138,EXP_0001_piece_vide,piece_vide,piece_vide,166177589,167972770,10
0.04099262366484737,1.1478553002476575,1.0713800913997131,1.8121817783439627,-0.7338434869921048,11.495356954425857,4,1.6036772989627928,0.4827699195101661,17.879320666228082,1.1317759254044888,3.1217914565282525,0.9264151683226532,2.7583122981293613,EXP_0001_piece_vide,piece_vide,piece_vide,167172347,168974860,10
0.2571750146223223,1.2886677048986,1.135195007432027,1.8272911831641085,-0.7338434869921048,13.548066930445918,3,1.5493818957464223,0.4683412974080938,18.68112634199212,1.1973721115952862,3.256519577169306,0.9724000707042675,2.719722250847189,EXP_0001_piece_vide,piece_vide,piece_vide,168176462,169972590,10
0.09531299474244415,1.0778879397796974,1.03821382180151,1.8272911831641085,-0.6934701089413856,10.869725067464705,4,1.2998140623482597,0.49062565924321566,18.08079120065377,1.0997438642460544,3.0478382612428776,0.8906537934989315,2.7714073772632144,EXP_0001_piece_vide,piece_vide,piece_vide,169172482,170972634,10
0.13176311819645448,1.0060083443975696,1.0029996731791937,1.6598551811144129,-0.7326567989814404,10.233698637144226,3,1.2726164276976053,0.49925120477567714,18.215982211069942,1.0854206125949706,3.015009139576987,0.8677350336447098,2.777733444356761,EXP_0001_piece_vide,piece_vide,piece_vide,170173128,171972281,10
0.1262157852527069,1.033057736203583,1.0163944786369037,1.6925281651754043,-0.7326567989814404,10.489881606505405,3,1.543372059416342,0.49593470454055544,18.195407533271485,1.1059509792705373,2.987857568073706,0.8559686847925072,2.701618445460229,EXP_0001_piece_vide,piece_vide,piece_vide,171172495,172978137,10
-0.15042365524039059,0.7760400371656223,0.8809313464542071,1.6925281651754043,-0.7017197211483717,7.986673132215021,2,1.0310059968659773,0.5316515150247915,17.169370803151388,0.9552518808064218,2.5442687668341453,0.7252595808791088,2.663453289432757,EXP_0001_piece_vide,piece_vide,piece_vide,172172487,173976828,10
-0.16868330679494345,0.7918163660762556,0.8898406408319726,1.6968917782307507,-0.7127051750928493,8.202704240675327,2,0.8040873694911841,0.5291451450423702,17.101647006642942,0.96071683253412,2.558077692685777,0.7476119587775321,2.6626760387611412,EXP_0001_piece_vide,piece_vide,piece_vide,173172560,174972539,10
